分类: 央视频道, 名称: 电视指南, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 431 ms, 最高速率: 0.12 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: 中学生, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: 老故事, 有效: 0, IPv4: 9, IPv6: 0, 最小延迟: 152 ms, 最高速率: 8.72 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 安多卫视, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 安徽卫视, 有效: 3, IPv4: 40, IPv6: 0, 最小延迟: 217 ms, 最高速率: 0.77 M/s, 平均速率: 0.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 北京卫视, 有效: 8, IPv4: 52, IPv6: 0, 最小延迟: 23 ms, 最高速率: 28.17 M/s, 平均速率: 9.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 兵团卫视, 有效: 0, IPv4: 20, IPv6: 0, 最小延迟: 40 ms, 最高速率: 8.17 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 东方卫视, 有效: 4, IPv4: 50, IPv6: 0, 最小延迟: 37 ms, 最高速率: 12.73 M/s, 平均速率: 6.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 东南卫视, 有效: 3, IPv4: 42, IPv6: 0, 最小延迟: 26 ms, 最高速率: 28.59 M/s, 平均速率: 17.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 甘肃卫视, 有效: 0, IPv4: 23, IPv6: 0, 最小延迟: 60 ms, 最高速率: 23.03 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 54, IPv6: 0, 最小延迟: 28 ms, 最高速率: 23.56 M/s, 平均速率: 12.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 广西卫视, 有效: 1, IPv4: 33, IPv6: 0, 最小延迟: 36 ms, 最高速率: 11.27 M/s, 平均速率: 11.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 贵州卫视, 有效: 3, IPv4: 34, IPv6: 0, 最小延迟: 40 ms, 最高速率: 22.77 M/s, 平均速率: 11.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 海南卫视, 有效: 2, IPv4: 31, IPv6: 0, 最小延迟: 37 ms, 最高速率: 11.64 M/s, 平均速率: 8.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 海峡卫视, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 507 ms, 最高速率: 0.10 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 31 ms, 最高速率: 26.06 M/s, 平均速率: 8.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 河南卫视, 有效: 4, IPv4: 42, IPv6: 0, 最小延迟: 15 ms, 最高速率: 8.77 M/s, 平均速率: 4.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 黑龙江卫视, 有效: 2, IPv4: 42, IPv6: 0, 最小延迟: 430 ms, 最高速率: 0.86 M/s, 平均速率: 0.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 湖北卫视, 有效: 2, IPv4: 47, IPv6: 0, 最小延迟: 434 ms, 最高速率: 0.88 M/s, 平均速率: 0.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 湖南卫视, 有效: 7, IPv4: 48, IPv6: 0, 最小延迟: 37 ms, 最高速率: 10.72 M/s, 平均速率: 6.61 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 吉林卫视, 有效: 3, IPv4: 36, IPv6: 0, 最小延迟: 81 ms, 最高速率: 12.52 M/s, 平均速率: 7.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 江苏卫视, 有效: 7, IPv4: 51, IPv6: 0, 最小延迟: 26 ms, 最高速率: 29.03 M/s, 平均速率: 12.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 江西卫视, 有效: 4, IPv4: 45, IPv6: 0, 最小延迟: 34 ms, 最高速率: 20.70 M/s, 平均速率: 9.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 康巴卫视, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 33 ms, 最高速率: 31.16 M/s, 平均速率: 10.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
